bounty_name,group_id,limit
[None],0,0
That's What I Totem,54741779195912325079607446219077276994296571521318858728909012738527109454812,1
Ronin's Route to Riches,50035467463535525511544300808649240768826365926545231804580514628478199554264,1
Branching Out More [1],88808424439197647035960983348592894017595149932001520216149538024754201410493,1
More Ore Galore [1],29828671046703612459607317720087391597561017140202464330927153450497803206340,1
Got More Cotton [1],10479552917378601816214709730145483518697041810419379635355912167076786383682,1
Branching Out More [5],108176942194681762173428262970419357850682406131803790651873693773707446409762,5
More Ore Galore [5],109210881933854291862457128238589793319952920751024148058276928933639472633702,5
Got More Cotton [5],48999620131792212169072352750922650732891052257402454493724746324907252223275,5
In Ship Shape,95349428186531472353596717063332288926085008762339854611690170205775480957054,1
The Seven Seize: Cotton [1],18746406447626867973639821235735747427104208646947586708382184721937551492930,1
The Seven Seize: Wood [1],37216153046294121013985458993776495448153746562232493915242530345992706391825,1
The Seven Seize: Iron [1],56058257066962108946272289698450692276985268928493646841327430141027828111965,1
The Seven Seize: Cotton [5],43259829861633191870275666784219269250538796946120418965015983238945506440904,5
The Seven Seize: Wood [5],99073818720989279124689852629979381395814177788111898776518066542339126837136,5
The Seven Seize: Iron [5],65858935651052725538098074900969784326104157072421958602787038408781644534175,5
The Seven Seize: Iron [10],54946079899566686511881991281379172417555926438362305241690693529750925639689,10
The Seven Seize: Wood [10],77444218299957518365658102922835126405468443353989460431818286333188056380793,10
What's in Your Wallet? [5],105274470902548704505215817661926671924977387617039507767880429385636821145207,5