 # ,address,CR,fights,Nova $,Energy,  $PGLD ,Sloop,Galleon,Rogue  ,Frigate,Copper Coin,Faded,High Seas,Rope,S Rock,T1: Wood,T1: Cotton,T1: Iron,T2: Oar,T2: Net,T2: Anchor,M Rock,T3: Compass,T3: Scale,T3: Spyglass,L Rock,Goblin Totem,Parrot Totem,Monkey Totem,Goldfish Totem,Skeleton,Musket,Dagger,Cutlass,Billy,Grappling Hook,Flask,Jug,Keg,Sail,Needle,Gauntlet Chest 1,Gauntlet Chest 2,Gauntlet Chest 3,Gauntlet Chest 4,Map 1,Map 2,Map 3,Map 4,F1,F2,F3,F4,G1,G2 ,G3,G4,S1,S2,S3,S4,Pirate's Skiff,Bruce Totem,Bandana,Sextant,Small Stones,Green Hedge,Palm Tree,Wooden Barrel,Small Sand Castle,Medium Sand Castle,Bush,Red Crate,Orange Crate,Yellow Crate,Blue Crate,Brown Crate,Grey Crate,White Crate,Founder's Trade License,Swashbuckler's Squash,Scallywag's Gourd,Weathered Headstone,A Toast!,Pirate Crypt,,Pirate Nation Flag,Barrrbecue,Cannon Fuse,Wooden Column,Iron Rivets,Gold Keg Statue,Crate of Bananas,Mint Day Cake,Stone Pathway,The Dealer's Tablet,Broseph's Tablet,Old Salt's Tablet,The Dealer's Idol III
1.0,0x4fbbcbba17b39d40bf9155aafb5668d8d49c74c4,10.0,0.0,7.78,81.0,6915.0,17.0,18.0,,18.0,,21.0,,21.0,2.0,272.0,94.0,122.0,40.0,40.0,30.0,2.0,29.0,89.0,28.0,,2.0,2.0,11.0,15.0,,129.0,92.0,147.0,140.0,3.0,35.0,55.0,,2.0,261.0,3.0,3.0,3.0,3.0,41.0,41.0,40.0,40.0,,1.0,,1.0,,,,,,,,,1.0,1.0,1.0,1.0,1.0,31.0,38.0,28.0,1.0,2.0,5.0,2.0,5.0,12.0,1.0,4.0,1.0,6.0,22.0,3.0,5.0,1.0,1.0,1.0,1.0,6.0,1.0,296.0,335.0,376.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,0x4959b2e8bc48ab2d5da54c57d1135b87e185bd44,0.0,0.0,0.11,140.0,1565.0,0.0,0.0,,0.0,,0.0,,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
3.0,0x2a99cbe1461736adf075f22d6faf09883747a784,6.0,4.0,0.18,139.0,1389.0,0.0,0.0,,0.0,,2.0,,0.0,2.0,43.0,4.0,4.0,5.0,2.0,2.0,0.0,4.0,1.0,1.0,,0.0,0.0,0.0,0.0,,1.0,3.0,0.0,9.0,0.0,0.0,3.0,,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,5.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,17.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.0,0x6ba25bf6e1abc20e9ffcfe22d5c7c31895fb2911,0.0,0.0,0.14,138.0,4785.0,0.0,0.0,,0.0,,0.0,,0.0,0.0,7.0,0.0,29.0,3.0,2.0,3.0,0.0,0.0,10.0,0.0,,0.0,0.0,0.0,0.0,,6.0,0.0,5.0,2.0,0.0,0.0,2.0,,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,8.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.0,0xb0aa30d13d1a786b764e2464c59fc77eec920c6d,0.0,0.0,0.08,74.0,2229.0,0.0,0.0,,0.0,,5.0,,1.0,1.0,19.0,2.0,1.0,4.0,2.0,1.0,0.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0,,8.0,1.0,2.0,3.0,0.0,0.0,0.0,,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,8.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
6.0,0x8097bf78d4dd541d9a2bb8575cee30137cef7759,0.0,0.0,0.06,139.0,2089.0,0.0,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
7.0,0x12da27e23d5665e647c8f8a412cd0b9e411db2d3,2.0,3.0,0.06,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.0,0x13fa68e9420890a5f93142a32a1bcc38fb9adf72,2.0,3.0,0.18,139.0,4515.0,0.0,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,,0.0,0.0,0.0,0.0,,1.0,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9.0,0xe80a12e83778359d475bc7a3624f0c0c32298a5f,4.0,8.0,0.11,139.0,1425.0,0.0,0.0,,0.0,,0.0,,0.0,0.0,0.0,25.0,25.0,0.0,0.0,0.0,0.0,4.0,2.0,6.0,,0.0,0.0,0.0,0.0,,0.0,4.0,2.0,2.0,0.0,5.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
10.0,0x91b48b99f4e1fcb343c928a78f79dad2b03665be,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
11.0,0x1d2bcda528ce6d7242e3ec010c25d5b826a2f370,2.0,3.0,0.07,138.0,95.0,0.0,0.0,,0.0,,5.0,,0.0,0.0,2.0,0.0,76.0,4.0,1.0,1.0,0.0,7.0,0.0,7.0,,0.0,0.0,0.0,0.0,,3.0,7.0,4.0,6.0,0.0,0.0,3.0,,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,10.0,10.0,7.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
12.0,0x8694126579fbc8af7b49abc0194cb3524756298c,0.0,0.0,0.02,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,2.0,1.0,1.0
13.0,0x380442e96adcecec3cf1f93144c03d066ae304da,0.0,0.0,0.21,73.0,4460.0,0.0,0.0,,0.0,,1.0,,0.0,0.0,0.0,0.0,8.0,5.0,1.0,2.0,0.0,5.0,4.0,14.0,,0.0,0.0,0.0,0.0,,4.0,5.0,5.0,5.0,0.0,0.0,2.0,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,5.0,8.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
14.0,0x9b1eaf58b35ee02882fff5efe801085907e6da89,4.0,4.0,0.14,77.0,864.0,0.0,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,29.0,10.0,2.0,3.0,0.0,1.0,2.0,4.0,,0.0,0.0,0.0,0.0,,6.0,6.0,7.0,10.0,0.0,12.0,8.0,,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,23.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15.0,0xd14b2ed3e1ef32cf2cd8e2adf1cef41fe70ed14b,7.0,10.0,0.27,53.0,0.0,0.0,0.0,,0.0,,1.0,,0.0,1.0,18.0,63.0,13.0,42.0,19.0,19.0,0.0,2.0,1.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,6.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,,,,,,,,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,35.0,9.410000000000002,1330.0,30331.0,17.0,18.0,0.0,18.0,0.0,35.0,0.0,22.0,8.0,361.0,188.0,307.0,113.0,69.0,61.0,2.0,55.0,109.0,61.0,0.0,2.0,2.0,11.0,15.0,0.0,158.0,118.0,172.0,178.0,3.0,58.0,73.0,0.0,2.0,296.0,3.0,3.0,3.0,3.0,41.0,41.0,40.0,40.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0,1.0,42.0,41.0,34.0,1.0,2.0,5.0,2.0,5.0,12.0,1.0,4.0,1.0,6.0,22.0,3.0,5.0,1.0,1.0,1.0,3.0,7.0,1.0,351.0,399.0,453.0,1.0,1.0,7.0,2.0,2.0,2.0,1.0,1.0
